municipality,zip_code,ev_count
ALDEN,60001,0
ANTIOCH,60002,65
ARLINGTON HEIGHTS,60004,247
ARLINGTON HEIGHTS,60005,150
ARLINGTON HEIGHTS,60006,0
ELK GROVE VILLAGE,60007,156
ROLLING MEADOWS,60008,73
ELK GROVE VILLAGE,60009,0
BARRINGTON,60010,717
BARRINGTON,60011,0
CRYSTAL LAKE,60012,67
CARY,60013,93
CRYSTAL LAKE,60014,177
DEERFIELD,60015,482
DES PLAINES,60016,200
DES PLAINES,60017,0
DES PLAINES,60018,101
DES PLAINES,60019,0
FOX LAKE,60020,22
FOX RIVER GROVE,60021,30
GLENCOE,60022,284
GLENVIEW,60025,364
GLENVIEW,60026,205
GOLF,60029,15
GRAYSLAKE,60030,143
GURNEE,60031,207
HARVARD,60033,13
HEBRON,60034,4
HIGHLAND PARK,60035,855
FORT SHERIDAN,60037,0
PALATINE,60038,0
CRYSTAL LAKE,60039,2
HIGHWOOD,60040,26
INGLESIDE,60041,12
ISLAND LAKE,60042,17
KENILWORTH,60043,51
LAKE BLUFF,60044,119
LAKE FOREST,60045,344
LAKE VILLA,60046,114
LAKE ZURICH,60047,461
LIBERTYVILLE,60048,311
LONG GROVE,60049,0
MCHENRY,60050,53
MCHENRY,60051,58
METTAWA,60052,1
MORTON GROVE,60053,154
PALATINE,60055,1
MOUNT PROSPECT,60056,164
MOUNT PROSPECT,60057,0
MOUNT PROSPECT,60058,0
MUNDELEIN,60060,160
VERNON HILLS,60061,251
NORTHBROOK,60062,660
NORTH CHICAGO,60064,8
NORTHBROOK,60065,0
PALATINE,60067,308
PARK RIDGE,60068,276
LINCOLNSHIRE,60069,141
PROSPECT HEIGHTS,60070,43
RICHMOND,60071,18
RINGWOOD,60072,6
ROUND LAKE,60073,133
PALATINE,60074,94
RUSSELL,60075,1
SKOKIE,60076,167
SKOKIE,60077,112
PALATINE,60078,1
WAUKEGAN,60079,0
SPRING GROVE,60081,27
TECHNY,60082,0
WADSWORTH,60083,63
WAUCONDA,60084,66
WAUKEGAN,60085,48
NORTH CHICAGO,60086,0
WAUKEGAN,60087,35
GREAT LAKES,60088,3
BUFFALO GROVE,60089,340
WHEELING,60090,132
WILMETTE,60091,433
LIBERTYVILLE,60092,0
WINNETKA,60093,436
PALATINE,60094,0
PALATINE,60095,0
WINTHROP HARBOR,60096,11
WONDER LAKE,60097,17
WOODSTOCK,60098,87
ZION,60099,30
ADDISON,60101,101
ALGONQUIN,60102,118
BARTLETT,60103,250
BELLWOOD,60104,10
BENSENVILLE,60105,0
BENSENVILLE,60106,38
STREAMWOOD,60107,140
BLOOMINGDALE,60108,148
BURLINGTON,60109,0
CARPENTERSVILLE,60110,73
CLARE,60111,1
CORTLAND,60112,7
CRESTON,60113,2
DEKALB,60115,63
CAROL STREAM,60116,0
BLOOMINGDALE,60117,0
DUNDEE,60118,77
ELBURN,60119,49
ELGIN,60120,88
ELGIN,60121,2
CAROL STREAM,60122,0
ELGIN,60123,71
ELGIN,60124,150
CAROL STREAM,60125,0
ELMHURST,60126,414
CAROL STREAM,60128,0
ESMOND,60129,0
FOREST PARK,60130,46
FRANKLIN PARK,60131,35
CAROL STREAM,60132,0
HANOVER PARK,60133,76
GENEVA,60134,189
GENOA,60135,8
GILBERTS,60136,45
GLEN ELLYN,60137,299
GLEN ELLYN,60138,0
GLENDALE HEIGHTS,60139,64
HAMPSHIRE,60140,79
HINES,60141,0
HUNTLEY,60142,120
ITASCA,60143,78
KANEVILLE,60144,0
KINGSTON,60145,4
KIRKLAND,60146,1
LAFOX,60147,0
LOMBARD,60148,293
MALTA,60150,2
MAPLE PARK,60151,5
MARENGO,60152,27
MAYWOOD,60153,20
WESTCHESTER,60154,34
BROADVIEW,60155,12
LAKE IN THE HILLS,60156,86
MEDINAH,60157,22
SCHAUMBURG,60159,0
MELROSE PARK,60160,27
MELROSE PARK,60161,0
HILLSIDE,60162,16
BERKELEY,60163,6
MELROSE PARK,60164,22
STONE PARK,60165,4
SCHAUMBURG,60168,1
HOFFMAN ESTATES,60169,105
PLATO CENTER,60170,0
RIVER GROVE,60171,15
ROSELLE,60172,106
SCHAUMBURG,60173,158
SAINT CHARLES,60174,164
SAINT CHARLES,60175,189
SCHILLER PARK,60176,23
SOUTH ELGIN,60177,88
SYCAMORE,60178,44
HOFFMAN ESTATES,60179,0
UNION,60180,2
VILLA PARK,60181,110
WASCO,60183,1
WAYNE,60184,30
WEST CHICAGO,60185,124
WEST CHICAGO,60186,0
WHEATON,60187,137
CAROL STREAM,60188,144
WHEATON,60189,169
WINFIELD,60190,78
WOOD DALE,60191,52
HOFFMAN ESTATES,60192,152
SCHAUMBURG,60193,188
SCHAUMBURG,60194,96
SCHAUMBURG,60195,16
SCHAUMBURG,60196,1
CAROL STREAM,60197,0
CAROL STREAM,60199,0
EVANSTON,60201,315
EVANSTON,60202,226
EVANSTON,60203,38
EVANSTON,60204,0
EVANSTON,60208,13
EVANSTON,60209,0
MCHENRY,60296,0
MCHENRY,60297,0
OAK PARK,60301,21
OAK PARK,60302,333
OAK PARK,60303,0
OAK PARK,60304,120
RIVER FOREST,60305,119
FRANKLIN PARK,60398,0
